Отметка времени,Возраст,Пол,Город,Position,Опыт работы в Европе (сколько лет),Опыт работы в целом (сколько лет),Текущая ЗП,ЗП год назад,Какая была первая ЗП в Европе,Какая по счету у вас сейчас работа в Европе,Основной язык на работе,Размер компании,Тип компании,Уровень,,,,,
13.12.2016 15:13:44,32,m,München,Software Developer,2,10,65000,53000,53000,2,English,больше 100,Другое,Senior,,,,,
13.12.2016 15:14:49,28,m,Unknown,C++ Developer,2,8,54000,52000,48000,1,English,50-100,Продуктовая,Middle,,,,,
13.12.2016 15:18:19,30,m,Berlin,Technical Product Manager,2,6,59000,54000,55000,2,English,больше 100,Стартап,,,,,,
13.12.2016 15:23:50,32,m,Berlin,Full stack ,5,14,80000,57000,48000,5,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 15:25:51,32,m,München,Java Developer,3,12,72000,72000,60000,1,Deutsch,до 10 сотрудников,Другое,Senior,,,,,
13.12.2016 15:27:53,26,m,München,Software Developer С++,3,4,55000,47000,45000,1,Deutsch,10-50,Продуктовая,Middle,,,,,
13.12.2016 15:32:33,28,m,München,Fullstack developer (.NET),3,8,70000,65000,55000,2,Deutsch,10-50,Продуктовая,Senior,,,,,
13.12.2016 15:32:53,28,m,München,Web Developer,1,6,57000,52000,52000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 15:35:27,22,f,München,Java Developer,1,4,55000,24000,24000,2,Deutsch,больше 100,Агентство,Middle,,,,,
13.12.2016 15:36:20,28,m,Berlin,Software Engineer,1,9,70000,50000,50000,2,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 15:37:01,28,m,Köln,Frontend Developer,2,9,42000,42000,42000,1,Deutsch,50-100,Агентство,Junior,,,,,
13.12.2016 15:37:18,27,m,Berlin,Teamlead,1,7,65000,60000,60000,1,English,больше 100,Стартап,Senior,,,,,
13.12.2016 15:38:17,38,m,Berlin,Lead QA,3,18,57000,54000,48000,2,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 15:38:35,31,m,Berlin,PHP developer,0,4,62000,62000,62000,1,English,10-50,Стартап,Senior,,,,,
13.12.2016 15:40:13,28,f,München,Test Engineer,2,3,50000,50000,50000,2,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 15:41:36,39,f,München,Business Analyst,2,15,68000,67000,43000,1,English,больше 100,Аутсорс (ну а вдруг),Senior,,,,,
13.12.2016 15:43:57,31,m,München,Senior QA Manager,2,10,65000,60000,60000,1,Deutsch,50-100,Продуктовая,Senior,,,,,
13.12.2016 15:44:23,35,m,München,DevOps,1,15,61000,61000,61000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 15:45:26,32,m,München,Java Developer,0,10,63000,63000,63000,1,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 15:49:12,27,m,München,IT-Consultant,1,1,45000,45000,45000,,English,больше 100,Другое,Junior,,,,,
13.12.2016 15:52:44,24,m,Berlin,Developer,1,4,50000,50000,50000,1,English,больше 100,Другое,Senior,,,,,
13.12.2016 15:53:42,31,m,München,Senior iOS Developer,4,11,76000,76000,48000,2,Deutsch,10-50,Продуктовая,Senior,,,,,
13.12.2016 15:54:59,30,m,Berlin,Ruby developer,1,9,58000,48000,48000,2,English,50-100,Стартап,Senior,,,,,
13.12.2016 16:12:08,33,m,Berlin,iOS Developer,3,10,68000,60000,42000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 16:23:46,30,m,München,Backend Developer,0,7,54000,54000,54000,1,English,10-50,Стартап,Middle,,,,,
13.12.2016 16:24:28,25,m,Berlin,DevOps,3,8,70000,60000,45000,3,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 16:34:33,31,m,Berlin,Senior DevOps Engineer,2,15,70000,65000,65000,2,English,10-50,Стартап,Senior,,,,,
13.12.2016 16:35:36,28,m,München,DevOps,2,8,78000,65000,65000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 16:59:00,31,m,Berlin,PHP Developer,3,12,60000,52000,40000,2,English,10-50,Стартап,Senior,,,,,
13.12.2016 17:03:58,29,m,Berlin,net developer,0,9,68000,68000,68000,1,English,50-100,Продуктовая,Senior,,,,,
13.12.2016 17:10:07,26,m,Berlin,PHP DEV,0,5,39000,39000,39000,1,English,10-50,Продуктовая,Middle,,,,,
13.12.2016 17:16:19,39,m,Berlin,Frontend developer,1,16,65000,53000,50000,1,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 17:17:30,31,m,München,PHP Developer,1,9,62000,57000,57000,2,English,больше 100,Стартап,Senior,,,,,
13.12.2016 17:33:18,35,m,München,Project Manager,8,8,98000,95000,55000,3,Deutsch,больше 100,Другое,Senior,,,,,
13.12.2016 17:46:14,28,m,München,Magento BE Developer,1,11,60000,55000,60000,1,English,10-50,Продуктовая,Middle,,,,,
13.12.2016 18:09:36,31,m,Berlin,Software Engineer,2,6,62000,50000,43000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 18:18:21,30,m,Berlin,Teamlead,3,10,65000,65000,60000,2,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 18:22:34,25,m,München,C# Developer,1,3,44000,44000,44000,1,English,10-50,Стартап,Middle,,,,,
13.12.2016 18:40:08,32,m,Berlin,Software Engineer,2,10,50000,50000,50000,1,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 18:42:46,30,f,Berlin,QA Lead,1,9,50000,47000,47000,1,English,10-50,Стартап,Senior,,,,,
13.12.2016 19:00:32,30,m,München ,Java Developer ,7,8,60000,56000,56000,1,Deutsch,больше 100,Продуктовая,Senior,,,,,
13.12.2016 19:02:06,30,m,München ,Java developer ,0,11,57000,33000,57000,1,English,больше 100,Аутсорс (ну а вдруг),Middle,,,,,
13.12.2016 19:05:49,34,m,Hamburg,Senior Java Developer,2,10,65000,60000,60000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 19:10:08,27,f,Berlin,Software Developer,1,5,45000,45000,45000,1,English,до 10 сотрудников,Стартап,Middle,,,,,
13.12.2016 19:12:44,32,m,Berlin,Tech Lead,3,10,85000,78000,55000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 19:13:06,31,m,Berlin,Backend Developer,2,7,56000,52000,50000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 19:18:00,27,f,Berlin,QA,1,3,32000,32000,32000,1,English,10-50,Стартап,Middle,,,,,
13.12.2016 19:19:40,31,m,Berlin,Test Engineer,1,7,60000,60000,60000,1,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 19:20:22,32,m,Berlin,Product manager,1,12,60000,45000,60000,2,English,больше 100,Стартап,Senior,,,,,
13.12.2016 19:20:23,26,m,Mannheim,Java Engineer,1,5,56000,49000,49000,1,English,больше 100,Продуктовая,Middle,,,"ЗП год назад, медиана",,"Текущая ЗП, медиана"
13.12.2016 19:23:24,31,m,Karlsruhe,Senior Software Developer,3,10,62000,42000,38000,2,English,больше 100,Продуктовая,Senior,,,54000,,60000
13.12.2016 19:27:43,34,m,Unknown,QA Engineer,8,10,55000,48000,48000,,English,,Другое,Senior,,,,,
13.12.2016 19:28:06,26,m,Berlin,Frontend developer,2,6,53000,53000,50000,1,English,50-100,Стартап,Senior,,,,,
13.12.2016 19:31:24,25,m,Berlin,Java Developer,1,5,70000,22000,68000,2,English,больше 100,Стартап,Senior,,,,,
13.12.2016 19:38:18,21,m,Berlin,Python Developer,1,1,21120,21120,21120,1,English,до 10 сотрудников,Стартап,Junior,,,,,
13.12.2016 19:39:28,32,m,München,Senior Developer C# ,2,12,65000,62000,61000,1,English,10-50,Стартап,Senior,,,,,
13.12.2016 19:39:36,36,m,Hamburg,Software Developer,0,14,65000,65000,65000,1,English,50-100,Продуктовая,Middle,,,,,
13.12.2016 19:40:15,33,m,Berlin,.Net Developer,7,7,43500,43500,29000,2,Deutsch,больше 100,Продуктовая,Middle,,,,,
13.12.2016 19:40:55,29,m,Berlin,Software Architect,1,10,69000,69000,69000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 19:41:58,27,m,München,Javascript Developer,1,6,60000,60000,60000,1,English,10-50,Стартап,Senior,,,,,
13.12.2016 19:42:01,29,m,Berlin,Software Engineer,3,8,55000,22000,22000,2,English,до 10 сотрудников,Стартап,Middle,,,,,
13.12.2016 19:42:01,29,m,Berlin,Software Engineer,3,8,55000,22000,22000,2,English,до 10 сотрудников,Стартап,Middle,,,,,
13.12.2016 19:42:53,41,m,Unknown,iOS developer,1,4,45000,45000,45000,1,English,50-100,Стартап,Middle,,,,,
13.12.2016 19:48:17,26,m,München,Маркетинг Менеджер,1,5,60000,58000,54000,3,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 19:50:06,27,f,Berlin,QA Automation developer,1,2,47000,47000,40000,2,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 19:50:48,29,m,Berlin,Senior QA Engineer,2,6,60000,50000,42000,2,English,больше 100,Стартап,Senior,,,,,
13.12.2016 20:02:38,35,m,Berlin,Senior Java Backend Developer,1,4,55000,50000,50000,2,English,10-50,Стартап,Senior,,,,,
13.12.2016 20:11:55,29,m,Berlin ,IOS developer,1,2,48000,16000,48000,1,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 20:14:18,30,m,Berlin,Java developer,3,6,60000,60000,50000,1,English,больше 100,Стартап,Middle,,,,,
13.12.2016 20:14:23,28,m,Berlin,Software engineer,3,7,55000,50000,38000,2,Deutsch,50-100,Продуктовая,Senior,,,,,
13.12.2016 20:19:21,31,m,Berlin,Team Lead,2,12,70000,60000,60000,1,English,10-50,Стартап,Senior,,,,,
13.12.2016 20:20:11,30,m,Berlin,Javascript Developer,0,10,55000,55000,50000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 20:29:12,28,m,Berlin,Senior Software Engineer (PHP),2,9,63000,53000,48400,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 20:33:19,37,m,Berlin,Python Developer,1,14,61600,56000,56000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 20:37:29,33,m,Berlin,Golang engineer,1,5,48000,39000,39000,1,English,50-100,Стартап,Middle,,,,,
13.12.2016 20:40:16,28,m,Berlin,Machine learning engineer,0,5,42000,32000,42000,1,English,10-50,Стартап,Middle,,,,,
13.12.2016 20:43:07,30,m,Berlin,QA Engineer,1,7,50000,39600,39600,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 20:44:26,32,m,München,Domain Architect,2,10,70000,60000,56000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 20:45:10,38,m,Berlin,IT Project Leader,1,16,37000,37000,37000,1,other,до 10 сотрудников,Другое,Middle,,,,,
13.12.2016 20:48:50,24,f,Unknown,Java Developer,1,3,39000,39000,39000,2,English,больше 100,Продуктовая,Junior,,,,,
13.12.2016 20:49:28,29,m,Berlin,Software Engineer,1,8,73150,72000,72000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 20:52:42,32,m,Berlin,Android Developer,5,5,48000,48000,28000,5,Deutsch,больше 100,Продуктовая,Senior,,,,,
13.12.2016 20:56:27,30,m,Berlin,Android Developer,2,9,60000,48500,48500,2,English,50-100,Продуктовая,Senior,,,,,
13.12.2016 21:04:02,27,m,München,iOS Developer,1,5,56000,56000,56000,1,English,50-100,Продуктовая,Middle,,,,,
13.12.2016 21:08:47,31,m,Berlin,Data Engineer,1,7,60000,60000,60000,1,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 21:09:34,36,m,Berlin,Team lead,5,14,75000,72000,50000,2,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 21:18:36,40,m,Nürnberg,Team Lead,4,15,70000,65000,45000,2,Deutsch,больше 100,Другое,Senior,,,,,
13.12.2016 21:25:01,37,m,Berlin,Software Developer ,7,7,55000,48000,32000,5,Deutsch,больше 100,Продуктовая,Senior,,,,,
13.12.2016 21:28:12,37,m,München,,1,9,60000,60000,60000,1,English,больше 100,Агентство,Senior,,,,,
13.12.2016 21:28:34,27,m,Berlin,PHP Team Lead,1,8,60000,57000,57000,1,English,больше 100,Стартап,Senior,,,,,
13.12.2016 21:30:43,34,m,Berlin,Java Engineer,2,9,67000,65000,60000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 21:33:37,36,m,Berlin,Senior PHP Developer,1,15,60000,48000,48000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 21:36:55,29,f,Berlin,PM,0,7,55000,55000,55000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 21:40:18,29,m,Berlin,Software engineer,2,7,58000,50000,48000,2,English,больше 100,Другое,Middle,,,,,
13.12.2016 21:51:04,32,m,Berlin,Sr. developer,2,10,70000,45000,45000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 21:58:28,25,m,Berlin,Software Engineer,1,5,59500,53000,53000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 22:01:21,26,m,Berlin,developer,1,10,71000,48000,48000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 22:02:43,26,m,Berlin,Tech Lead,1,6,65000,62000,62000,1,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 22:09:12,28,f,Berlin,Java Developer,1,2,35000,35000,35000,1,English,10-50,Стартап,Junior,,,,,
13.12.2016 22:10:07,40,m,Berlin,Lead Engineer,1,15,74000,74000,74000,1,other,больше 100,Продуктовая,Senior,,,,,
13.12.2016 22:10:50,36,m,München,Senior Softwareentwickler,3,9,68000,64000,36000,2,Deutsch,больше 100,Продуктовая,Senior,,,,,
13.12.2016 22:11:33,26,m,München,PHP Developer,1,5,55000,55000,55000,1,Deutsch,больше 100,Продуктовая,Middle,,,,,
13.12.2016 22:17:19,33,m,Berlin,Senior Product Manager,2,11,69000,65000,65000,1,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 22:17:22,29,m,München,JS Full-Stack Developer,1,7,59000,59000,59000,1,Deutsch,больше 100,Продуктовая,Middle,,,,,
13.12.2016 22:19:26,34,m,Köln,Teamlead,2,12,55000,50000,50000,1,English,до 10 сотрудников,Стартап,Senior,,,,,
13.12.2016 22:22:34,27,m,Berlin,Teamlead,1,7,56000,56000,60000,2,English,50-100,Продуктовая,Senior,,,,,
13.12.2016 22:23:38,34,m,Berlin,Backend Software Developer,1,6,50000,50000,50000,1,English,10-50,Продуктовая,Middle,,,,,
13.12.2016 22:29:13,24,f,Berlin,Analyst,1,3,44000,44000,44000,1,English,больше 100,Другое,Junior,,,,,
13.12.2016 22:33:49,29,m,Nürnberg,Ruby on Rails Engineer,2,12,52000,47500,47500,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 22:37:26,29,m,München,QA,1,5,61000,60000,60000,1,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 22:44:25,30,m,München,PHP developer,2,6,65000,55000,45000,2,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 22:44:25,28,m,Berlin,Senior Software Engineer,2,6,97000,65000,47000,3,English,50-100,Продуктовая,Senior,,,,,
13.12.2016 22:46:27,26,m,Berlin,Senior PHP Developer ,1,5,50000,50000,50000,1,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 22:48:53,29,m,Berlin,Java/JavaScript Developer,1,3,47000,42000,42000,2,Deutsch,больше 100,Аутсорс (ну а вдруг),Middle,,,,,
13.12.2016 23:04:01,36,m,Berlin,Frontend Developer,2,17,52000,49500,49500,2,English,больше 100,Продуктовая,Middle,,,,,
13.12.2016 23:11:49,27,m,Berlin,Ruby developer,2,6,58000,54000,42000,1,English,10-50,Стартап,Senior,,,,,
13.12.2016 23:13:21,31,m,Berlin ,Senior Java Engineer ,8,12,76000,75000,23000,3,English,больше 100,Продуктовая,Senior,,,,,
13.12.2016 23:14:36,32,m,Berlin,QA Engineer,3,10,65000,50000,41000,1,English,больше 100,Стартап,Senior,,,,,
13.12.2016 23:15:12,26,m,Berlin,PHP,0,4,55000,55000,55000,1,English,50-100,Стартап,Senior,,,,,
13.12.2016 23:24:21,35,m,Berlin,Senior Software Engineer,5,10,64000,64000,56000,2,English,10-50,Продуктовая,Senior,,,,,
13.12.2016 23:55:55,33,m,Berlin,PHP Developer,2,10,50000,50000,50000,1,English,50-100,Продуктовая,Middle,,,,,
14.12.2016 1:15:01,27,m,Berlin ,Software Engineer,4,7,63000,58000,50000,3,English,больше 100,Стартап,Senior,,,,,
14.12.2016 2:12:22,31,m,Berlin,Software Engineer,2,11,71000,68000,68000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 3:18:39,28,m,Berlin,Full-stack Web Developer,0.8,8,44000,44000,44000,1,English,до 10 сотрудников,Другое,Middle,,,,,
14.12.2016 5:08:47,35,m,Berlin,Teamlead frontend team,9,9,70000,50000,22000,2,English,50-100,Продуктовая,Senior,,,,,
14.12.2016 6:10:15,27,m,Berlin,Software Engineer,3,7,58000,58000,50000,3,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 7:02:20,30,m,Berlin,PHP developer,1,5,55000,48000,48000,2,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 8:02:12,26,m,Berlin,Devops,1,6,60000,50000,55000,2,English,больше 100,Стартап,Senior,,,,,
14.12.2016 8:08:28,40,m,Berlin,Principal Software Developer,2,20,84000,50000,48000,3,English,10-50,Аутсорс (ну а вдруг),,,,,,
14.12.2016 8:27:12,35,m,Berlin,System Engineer,1.5,10,65000,55000,55000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 8:44:05,35,m,Berlin,Fulls stack developer,1,12,60000,50000,50000,2,English,больше 100,Продуктовая,Middle,,,,,
14.12.2016 8:48:50,35,m,Berlin,Lead Software Developer,4.5,12,70000,60000,48000,3,English,10-50,Стартап,Senior,,,,,
14.12.2016 9:09:32,34,m,Berlin ,Sr. Front-End developer,1.5,10,60000,55000,55000,1,English,больше 100,Другое,Senior,,,,,
14.12.2016 9:18:31,26,f,Berlin,QA Engineer ,0,4,48000,48000,48000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 9:44:54,31,m,Köln,Pop developer,0,8,52000,52000,52000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 10:08:12,27,m,Frankfurt,Ruby Developer,1,5,60000,60000,60000,1,English,10-50,Стартап,Senior,,,,,
14.12.2016 10:09:46,26,m,Berlin,Frontend Developer,3,7,85000,60000,48000,5,English,10-50,Стартап,Senior,,,,,
14.12.2016 10:09:54,26,f,Berlin,Frontend Developer,2,3,45000,34000,34000,3,English,50-100,Стартап,Middle,,,,,
14.12.2016 10:11:52,28,m,Berlin,Backend Software Developer,2.5,8,58000,55000,50000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 10:45:14,32,m,Berlin,JavaScript Engineer,3,7,58000,55000,50000,2,English,50-100,Продуктовая,Senior,,,,,
14.12.2016 10:55:04,31,f,Кельн,Devops engineer ,3,10,65000,60000,54000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 11:15:05,29,m,Berlin,Techlead,2,8,65000,54000,54000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 11:43:36,33,m,Berlin,Senior Software Engineer,1,7,65000,60000,60000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 13:15:58,30,m,Berlin,Senior software developer,6,6,62000,69000,46000,3,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 13:25:56,35,m,Berlin,PLSQL Developer,5,5,44000,39500,39500,3,Deutsch,50-100,Аутсорс (ну а вдруг),Middle,,,,,
14.12.2016 13:41:40,33,m,Berlin,C++ Developer,0,12,62000,62000,62000,1,English,10-50,Стартап,Senior,,,,,
14.12.2016 13:55:39,31,m,Berlin,C++ Developer,0,11,69000,69000,69000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 14:26:12,30,m,Berlin ,Senior frontend developer,0,8,55000,55000,55000,1,English,50-100,Продуктовая,Senior,,,,,
14.12.2016 15:14:47,26,m,Berlin,Frontend engineer,0.8,6.5,42000,42000,42000,1,English,больше 100,Продуктовая,Middle,,,,,
14.12.2016 15:38:16,32,m,Berlin,PHP Backend Lead,4,10,65000,60000,50000,1,English,10-50,Стартап,Senior,,,,,
14.12.2016 16:33:52,24,m,Hamburg,Ruby on Rails developer,1.5,4.5,42000,42000,42000,1,Deutsch,до 10 сотрудников,Аутсорс (ну а вдруг),Middle,,,,,
14.12.2016 17:02:01,29,f,Berlin,Product Manager,1,6,52000,50000,50000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 17:28:48,26,m,Berlin,Fullstack Developer,3,5,50000,38000,37200,2,Deutsch,50-100,Продуктовая,Middle,,,,,
14.12.2016 17:31:16,33,m,Berlin,DevOps,5,10,63000,58000,30000,2,English,больше 100,Стартап,Senior,,,,,
14.12.2016 17:56:32,39,m,Berlin,Grouplead,5,20,78000,66000,48000,2,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 18:36:21,30,m,Berlin,Product Owner,1,6,52000,48400,48400,2,English,50-100,Стартап,Middle,,,,,
14.12.2016 20:35:08,25,m,Berlin,mobile media buyer,0,3,42000,42000,42000,1,English,,,Senior,,,,,
14.12.2016 20:37:28,31,f,Berlin,UX designer ,1,9,52000,52000,52000,1,English,больше 100,Продуктовая,Senior,,,,,
14.12.2016 21:51:09,25,m,Berlin,DevOps,2,7,63000,55000,42000,3,English,до 10 сотрудников,Стартап,Senior,,,,,
14.12.2016 23:11:09,27,m,Berlin,Frontend developer lead,2.5,7.5,68000,60000,51000,1,English,больше 100,Продуктовая,Senior,,,,,
15.12.2016 8:33:10,30,m,Berlin,Magento Frontend dev,2,8,47000,40000,40000,2,English,10-50,Стартап,Middle,,,,,
